Username,Comment
Stars food volgs,Really it tastes gud 
Sushma Lowanshi,Very Tasty
Shreya Tamse,yummmyyyy... i can't wait to try that out..
ash k,Nobody can beat Street panipuri walas recipe 
Shrikripa Bhat,Mouth watering
Shwetha Vemuru,Awesome..looks so yummy...
Afsath Ali,mouth watering
Ankita Sharma,Wowwwww....it's yummy...
Joshitha S,Can we do it without green peas
nandni solanki,Very unique recipe
Mitu j world,I m going to try this recipe its yumm
chitra Manjunath,Very tasty.... i always prefer ur recepies
Pratima Patel,-
Zaiba Baig,Can we skip fennel powder n pav bhaji masala?
Devendra Nayak,i will try
Gangadhar K,very niceeeee episode of masala Puri
Hema Patil,"It looks tempting ,iam going to try"
Archana Joshi's Ideas,Mouth watering
Garima Chandwani,yum
sharvari mohite,-
pooja Soni,-
Ashraf Jameela,-
Fornite herobrine,thanx hebbars kitchen ....hv been looking 4 dis for years now....finally got it....hurray...
Dance with Bharti,Yammy 
Priyanka Srivastava,great...!happy holi in advance..!
S. Mohanty,Actually the peas which u have added is this green matar ???
Sameem Shaik,I have tried the recipe and its tasty
Pranav P,It's awsome
Jayaseelan Parthasarathy,Yum
Sri Hari,Can u put how to make green chutney
Unique Lifestyle by vijayalakshmi,Wow...
Lal Media Magic,️️️️️️️️️
Ramya Navin,What chilli powder u r using
Varsha Das,-
bhoomika which tala,most wanted recipe
Ipsita Mohanty,superrr
Mani Mala,can you upload recipe of homemade khoya or mawa.
Archana Joshi's Ideas,Interesting....
ayisha thusafra,This yammy ....
Raj kumar,Can u post recipe for puri
TUSHAR CHITALIA,Can we skip Jaggery
Vaishali Vaishali,Tq so much
shishira kumara n s,-
Rakesh Chinna,Can u upload egg dum biriyani
anjan raychaudhuri,how to make puri which has been used here
pavithra nagaraju,Mouth watering
NILAM MAHTO,-
Vy Deepthi,-
Ananyaa Bailur,yum yum.....
Triha,awsome....
Manjula Reddy,Can u upload bangarpet masala puri recipe
janita bajaj,yummmm
Pooja avinash,how to make pudina chakli
Samrath Singh,u r masterchief
S.S.Adhiyan,How to prepare  chat Marsala at home
Basri Butt,Yar ap ketna maza ka khana banatiho
anukampa Lawrance,Tasty noodles in japani
Kaur Fitness Centre,How to make puri
mahesha k s,Mam aloo gadde elde madbahuda
Sri Hari,and momos  sauce
dileep vadhyar r,Without mint and coriander leaves in grinding ..no taste
Bharathi Manju,Kara Sev hege madidri?
Gita Bhasme,Hw to make that puri
lakshmi devamma,Where do you live??
sai varsha,i am trying now
SHIVLEELA HATTI,-
Roopa D,hi mam how to prepare those poori
Suresh rajmalvi Suresh rajmalvi,mere karnatak ki masalapuei banana sikhna
Baig Ali,Ragda puri h ye
Tousif Nayakwadi,Daily making one after others recipes.. Iam doing this right now
Misbah Nisha,Pan mudum podu yerllam archana face pathina?
Preeti Gopal,"Hungry ,"
Shreyas Narayan,This is not authentic way of doing it .
Dara Arshak,Why u add paw bhaji masala it is not paw bhaji
Pradeep Kumar Pk,Laik ett kani hoi
Anju Kejriwal,Nothing so grt about it nothing but a variation of daal pakwaan
tejas bharadwaj,Could see your face
Pranav P,hi
Shahnaz Begum,Bakwash
ilymwah,Do
Kanchan Nisar,"jjj 
a"
soumil singla,yuck.
Sneha Nalini,Who puts carrot 
