# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Username,Comment,vader_sentiment
Chandrika Kamath,"Tried it today.Turned out simply amazing,was a hit with my son .",0
Multifaceted head,"I have seen so many recipe videos online but your videos have a very different flavour . The way you explain is very commendable , whenever I search any recipe I add recipe name and then by sanjyot keer",0
RED FUJI,Looks spicy ,0
Jas Vilkoo,Looks so yumm ,0
Cooking With Mitra,"Looking So Delecious..
Gonna try this soon ",0
little kinder world,I tried it ..and it was another level,0
Sujata Rai,Wouldn't it be too spicy  but looks mouth watering ,0
Sayali More,My all time favourite chef ️,0
Niti Sharma,This looks so tempting ,0
prasanna lakshmi,Mouth watering  ,0
Koushal Jain,Tried it.. Believe me it was awsm!!!,0
Rash Jain,I tried exactly the same way n this recipe is a hit,0
Black Sheep,This looks so spicy ,0
Karthika Damodaran,"I started having my midnight cravings..meanwhile maggi packets got over in my hostel room, so i virtually trying to have some garlicky pulao",0
aryamaala mohan8909,OMG It looks so perfect... Gonna try this soon ,0
Nancy Gajjar,It looks so tempting..will try this ,0
Viren Kukreja,You forgot to add Pav Bhaji masala in Pulav which is the main ingredient which makes Tawa Pulav distinct from other types of Pulav.,0
Shaema Khan's Teacher Diaries,"In Kashmir we boil the dry red chillis in water and vinegar. Then dry roast some zeera and black pepper. Add it to the chillies plus garlic and green chillis. There's your paste. Store in a dry airtight glass jar I n the fridge. The vinegar increases its shelf life. You can use it in sauces, gravy etc...",0
Jai Baloda,"Hey Sanjot, I tried this recipe.
The pulao was spot on but the chutney had too much of a taste of the kashmiri chillis. Any recommendation on how to minimize it?",0
Amour SRP,-,0
Vijayalakshmi Karthik,Yum chef ,0
Rohita Sharma,Besttt cook,0
Asutosh Volg,Yummy.. Mouth Watering,0
Sagar Desai,Which brand/make mixer grinder do you use?,0
Ankit Sinha,Look so good.. defintly i will try it ️,0
abcd efgh,Dekh Kar munh pe paani aa Raha hai ,0
Pooh Eduworld,Mouth watering,0
Vama Dalal,How long can the chutney last in the fridge?,0
rooney ramwani,Aloo- Matar Bhaji and Papad is also served with this Tawa Pulao.,0
Ruth D’souza,"Sirji ,give us some tiffin ideas ,,also some simple vegetable recipes  for home cooking",0
Anu Kitchen Recipes in Hindi,बहुत ही अच्छी रेसिपी है ,0
BOE JIDEN,SANJYOT KEER MAKES IT SIMPLE,0
Happy Belly,Yum,0
TV Arena,-,0
Artistic Sumayya,supppppperrrrr,0
Colloure Jagannath,Looking yammy ,0
Yashasvi Vaishnav,First view ️ osm pulaw ,0
Narayani gaikwad,"Maine aaj hi banai..
Testy ",0
Pallavi Ramteke,Meri favourite dish ,0
vaibhav mestry,Sir where i can get that tawa which you are using? Also will it be available in 24 cm size?,0
Vinu Dinde,Sanjyot ye aisehi video aate rahe to 5M thoda jaldi hi ho jayega....aisa lagta mereko....,0
monali thorat,Very tasty recipe sir,0
Vandana Nashikkar,ymmi ,0
Sajiri Shah,बहोत खूब बना हैं तवा पुलाव और लहसन की चटणी ,0
Shreya,Channel with most genuine comments,0
Md Zulekha,If u wanna use chilli garlic paste only in rice then how many red chillies and garlic we need to use??,0
Madhukar Jadhav,-,0
Sandra Soares D,"Chef, what mixer grinder are you using???",0
ketan ketan,wowwww so tempting ,0
Krishna Thakker,Can we also take any normal basmati rice,0
Raj Kitchen in Hindi,-,0
SIMPLE ESSAYS,-,0
Deepali Deshpande,Yummy...,0
Kajal Mahale,This Sunday dinner recipe ,0
Saee Gore,-,0
vinod pillai,"Sir, from where have you bought the tawa?",0
Mohit Prajapat,For how much time should we soak red chili?,0
Yasar Mulani,"Hi Sanjot 
Which mixer grinder are you use?",0
Dhiraj Lulla,Bessssst receipe  ,0
Ritz ®,""" बॉस "" ",0
Sunita Joshi,"Make a video on Ghavan, this is a coastal dish.",0
Sudheer Vazrapu,"Hey, where can we get the tawa that you are using?",0
Doctorsheelaa Chawda,-,0
Raghu Kulkarni,-,0
Rutuja Todkar,"Recipe dekh Kar ,video dekhne se me khud ko rok hi nhi payi....yumm",0
Sunaina Gontu,️️,0
vinod pillai,"Sir, from where have you got the tawa.",0
Rupali Jadhav,जबरदस्त भावा बारामती,0
Haripriya,Me watching this while eating hostel ka khana,0
Grishma Shah,Super..plz add a link to buy the tava,0
SK,-,0
Nazneen Khan,khtrnak pulau,0
Garima Mandowara Shah,Very tasty,0
Kiran Jain,What can we use alternative for garlic chutney for jain dish,0
My kuku,It's wowwwwwww,0
Komal Macwan,AWSOME,0
Vinayak Kamath,Wow.... ,0
Lata Devle,What is the shelf life of that chutney?,0
Sukhada Deshmukh,"so yammy, ",0
nilesh maheshwari,For how long can we store that garlic chutney.,0
